DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-01-14,53.766,53.992,53.491,53.712,17.09
2020-01-13,53.419,54.024,53.396,53.857,16.35
2020-01-10,53.839,54.295,53.206,53.269,15.20
2020-01-09,53.369,53.785,53.17,53.595,18.82
2020-01-08,53.224,53.613,52.89,53.296,23.14
2020-01-07,54.029,54.047,53.224,53.26,21.96
2020-01-06,53.857,54.404,53.622,54.164,17.76
2020-01-03,54.056,54.86,54.056,54.318,15.30
2020-01-02,54.444,55.104,54.426,54.987,17.71
2019-12-31,53.884,54.164,53.649,54.092,14.44
2019-12-30,54.218,54.273,53.667,53.884,12.75
2019-12-27,54.146,54.661,54.137,54.30,14.09
2019-12-26,53.694,54.092,53.64,54.065,11.49
2019-12-24,53.55,53.757,53.468,53.694,6.31
2019-12-23,53.378,54.029,53.36,53.531,23.59
2019-12-20,52.709,53.369,52.32,53.278,49.97
2019-12-19,51.67,52.411,51.484,52.384,18.87
2019-12-18,51.869,51.927,51.462,51.67,28.27
2019-12-17,52.42,52.51,51.634,51.787,21.66
2019-12-16,52.61,52.935,52.103,52.149,19.14
2019-12-13,52.013,52.727,51.859,52.23,22.80
2019-12-12,51.29,52.465,51.164,52.013,27.90
2019-12-11,51.435,51.67,51.136,51.579,20.05
2019-12-10,51.254,51.362,51.01,51.145,16.16
2019-12-09,51.10,51.48,51.064,51.091,14.47
